# PROOF TRACE — a typed DAG; every node carries its endpoint terms by digest, every
# dependency is an earlier id, every leaf is a law instance, a definitional step or a backend obligation.
# Replay: morkl.ProofTrace.Checker (Scala, re-runs each step); scripts/check_traces.py (structural, independent).
# root	36
# id	kind	before	after	fields	deps
0	BackendRefinement	f96fc13d9515	85994aa7ad36	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
1	Positional	a2add5897eef	bbb35a17664c	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1;by=0	0
2	BackendRefinement	b5ec9c86aeaa	f6131aeede7b	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
3	Positional	bbb35a17664c	3fe6841b2cf8	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1;by=2	2
4	BackendRefinement	2830cdba8a29	b4624b69137b	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
5	Positional	3fe6841b2cf8	ce1e96f233da	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1;by=4	4
6	BackendRefinement	b90dffaac7a7	d514575eb4e0	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
7	Positional	ce1e96f233da	a413e63e505c	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1;by=6	6
8	BackendRefinement	cf5e2ce2d748	d0669ebeca6e	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
9	Positional	a413e63e505c	aebd0b6f0a43	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.0.1.1;by=8	8
10	BackendRefinement	d847bbef63eb	379e517e4534	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
11	Positional	aebd0b6f0a43	fcd5facbd0c3	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.0.0.0.0.1.1;by=10	10
12	BackendRefinement	6b6895932f59	60a650e94a5b	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
13	Positional	fcd5facbd0c3	037eacb69ab7	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.0.0.0.1.1;by=12	12
14	BackendRefinement	3d21284847f5	27d5fb017b75	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
15	Positional	037eacb69ab7	9e90ab15be60	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.0.0.1.1;by=14	14
16	BackendRefinement	6b5b3a4c2b6b	9a1e135c2fab	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
17	Positional	9e90ab15be60	9d3c9dc36e2c	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.0.1.1;by=16	16
18	BackendRefinement	0d0360dbd566	230cddce2dc3	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
19	Positional	9d3c9dc36e2c	b2ef4423e767	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.0.1.1;by=18	18
20	BackendRefinement	b62591551e2e	6bdc8dc826ab	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
21	Positional	b2ef4423e767	0b97d103e35d	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.0.1.1;by=20	20
22	BackendRefinement	c2275cdb7442	16dbb4404e5a	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
23	Positional	0b97d103e35d	1f9599f5276d	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.0.1.1;by=22	22
24	BackendRefinement	4ed832d4c800	e2b1e10a5d07	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
25	Positional	1f9599f5276d	c6669fc90b8f	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.0.1.1;by=24	24
26	BackendRefinement	a433d71279dd	039ff73e7ee4	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle15-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
27	Positional	c6669fc90b8f	d842239475cd	pos=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.0.0.0.0.1.1;by=26	26
