# STRUCTURAL COVERAGE (tasks.md D1) — every feature a cornerstone exercises, anchored to a term or node
# of its typed proof trace and to the claim cell whose closure discharges it.  Written by EquivPipelineTest
# from the parsed AST and the trace DAGs; re-derived row by row by `scripts/check_coverage.py`.
# Census rows (`*`) list the constructors no cornerstone exercises and the certified laws no trace fires.
# cornerstone	kind	feature	artifact	artifact-node	trace	trace-node	claim	state
aunt	binder	Iteration	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	boundary	graph	proofs/pipeline/aunt-graph-agnostic.smt2	BOUNDARY:graph	proofs/pipeline/traces/aunt-graph.trace.tsv	N:2	aunt/graph/instance	covered
aunt	boundary	space	proofs/pipeline/aunt-space.smt2	BOUNDARY:space	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	boundary	zipper	proofs/pipeline/aunt-zipper.smt2	BOUNDARY:zipper	proofs/pipeline/traces/aunt-zipper.trace.tsv	N:4	aunt/zipper/instance	covered
aunt	constructor	Concat	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	Constant	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	Deref	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	Intersection	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	Iteration	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	Mention	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	Restriction	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	Subtraction	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	TailsUnion	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	Unwrap	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	constructor	Wrap	proofs/pipeline/traces/aunt-space.trace.tsv	T:bd9b5608750a	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	hole	Iteration	proofs/pipeline/aunt-zipper.smt2	HOLE:#hole0	proofs/pipeline/traces/aunt-zipper.trace.tsv	N:0	aunt/zipper/instance	covered
aunt	law	unwrap-concat-unwraps	proofs/pipeline/aunt-space.smt2	law:unwrap-concat-unwraps	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-BACKENDS	proofs/spatial/REGISTRY.tsv	RULE:A6-BACKENDS	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EVENTS	proofs/spatial/REGISTRY.tsv	RULE:A6-EVENTS	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-INTER	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-INTER	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-INTER-SAME	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-INTER-SAME	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-RESTRICT	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-RESTRICT	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-SUB	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-SUB	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-SUB-SAME	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-SUB-SAME	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-TAILS-UNION	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-TAILS-UNION	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-UNION	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-UNION	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-UNION-SAME	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-UNION-SAME	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-UNWRAP	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-UNWRAP	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-EXACT-WRAP	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-WRAP	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-IVL	proofs/spatial/REGISTRY.tsv	RULE:A6-IVL	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-IVL-IMPL	proofs/spatial/REGISTRY.tsv	RULE:A6-IVL-IMPL	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-MUSTMAY	proofs/spatial/REGISTRY.tsv	RULE:A6-MUSTMAY	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-ORDER	proofs/spatial/REGISTRY.tsv	RULE:A6-ORDER	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
aunt	resource	A6-PATRICIA	proofs/spatial/REGISTRY.tsv	RULE:A6-PATRICIA	proofs/pipeline/traces/aunt-space.trace.tsv	N:0	aunt/space/instance	covered
datalog-sn	boundary	graph	proofs/pipeline/datalog-sn-graph-agnostic.smt2	BOUNDARY:graph	proofs/pipeline/traces/datalog-sn-graph.trace.tsv	N:2	datalog-sn/graph/instance	covered
datalog-sn	boundary	space	proofs/pipeline/datalog-sn-space.smt2	BOUNDARY:space	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	boundary	zipper	proofs/pipeline/datalog-sn-zipper.smt2	BOUNDARY:zipper	proofs/pipeline/traces/datalog-sn-zipper.trace.tsv	N:4	datalog-sn/zipper/instance	covered
datalog-sn	call	sn_tc	proofs/pipeline/traces/datalog-sn-space.trace.tsv	T:5e2dfec69e57	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	constructor	Call	proofs/pipeline/traces/datalog-sn-space.trace.tsv	T:5e2dfec69e57	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	constructor	Mention	proofs/pipeline/traces/datalog-sn-space.trace.tsv	T:5e2dfec69e57	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	hole	Call	proofs/pipeline/datalog-sn-zipper.smt2	HOLE:#hole0	proofs/pipeline/traces/datalog-sn-zipper.trace.tsv	N:0	datalog-sn/zipper/instance	covered
datalog-sn	resource	A6-BACKENDS	proofs/spatial/REGISTRY.tsv	RULE:A6-BACKENDS	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-EVENTS	proofs/spatial/REGISTRY.tsv	RULE:A6-EVENTS	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-EXACT-RESTRICT	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-RESTRICT	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-EXACT-SUB	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-SUB	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-EXACT-SUB-SAME	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-SUB-SAME	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-EXACT-TAILS-UNION	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-TAILS-UNION	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-EXACT-UNION	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-UNION	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-EXACT-UNION-SAME	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-UNION-SAME	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-EXACT-WRAP	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-WRAP	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-IVL	proofs/spatial/REGISTRY.tsv	RULE:A6-IVL	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-IVL-IMPL	proofs/spatial/REGISTRY.tsv	RULE:A6-IVL-IMPL	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-MUSTMAY	proofs/spatial/REGISTRY.tsv	RULE:A6-MUSTMAY	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-ORDER	proofs/spatial/REGISTRY.tsv	RULE:A6-ORDER	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-PATRICIA	proofs/spatial/REGISTRY.tsv	RULE:A6-PATRICIA	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
datalog-sn	resource	A6-SUMM	proofs/spatial/REGISTRY.tsv	RULE:A6-SUMM	proofs/pipeline/traces/datalog-sn-space.trace.tsv	N:2	datalog-sn/space/instance	covered
gol	boundary	graph	proofs/pipeline/gol-graph-agnostic.smt2	BOUNDARY:graph	proofs/pipeline/traces/gol-graph.trace.tsv	N:2	gol/graph/instance	covered
gol	boundary	space	proofs/pipeline/gol-space.smt2	BOUNDARY:space	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	boundary	zipper	proofs/pipeline/gol-zipper.smt2	BOUNDARY:zipper	proofs/pipeline/traces/gol-zipper.trace.tsv	N:4	gol/zipper/instance	covered
gol	call	nextStep	proofs/pipeline/traces/gol-space.trace.tsv	T:bbf670acc629	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	constructor	Call	proofs/pipeline/traces/gol-space.trace.tsv	T:bbf670acc629	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	constructor	Mention	proofs/pipeline/traces/gol-space.trace.tsv	T:bbf670acc629	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	hole	Call	proofs/pipeline/gol-zipper.smt2	HOLE:#hole0	proofs/pipeline/traces/gol-zipper.trace.tsv	N:0	gol/zipper/instance	covered
gol	resource	A6-BACKENDS	proofs/spatial/REGISTRY.tsv	RULE:A6-BACKENDS	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	resource	A6-EVENTS	proofs/spatial/REGISTRY.tsv	RULE:A6-EVENTS	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	resource	A6-EXACT-COMP	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-COMP	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	resource	A6-EXACT-INTER	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-INTER	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	resource	A6-EXACT-INTER-SAME	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-INTER-SAME	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	resource	A6-EXACT-RANGE	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-RANGE	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
gol	resource	A6-EXACT-SUB	proofs/spatial/REGISTRY.tsv	RULE:A6-EXACT-SUB	proofs/pipeline/traces/gol-space.trace.tsv	N:2	gol/space/instance	covered
