# PROOF TRACE — a typed DAG; every node carries its endpoint terms by digest, every
# dependency is an earlier id, every leaf is a law instance, a definitional step or a backend obligation.
# Replay: morkl.ProofTrace.Checker (Scala, re-runs each step); scripts/check_traces.py (structural, independent).
# root	12
# id	kind	before	after	fields	deps
0	BackendRefinement	c465aada955e	7bc251207dae	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle3-full-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
1	Positional	5362f5f89162	98947778dd00	pos=1.1.1.1.1.1.0.0.0.0.0.1.1.1;by=0	0
2	BackendRefinement	d925b30a8f73	b5a455f76e6c	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle3-full-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
3	Positional	98947778dd00	bb353a44bff6	pos=1.1.1.1.1.1.0.0.0.0.1.1;by=2	2
4	BackendRefinement	952933645837	3af4379f59fd	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle3-full-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
5	Positional	bb353a44bff6	f7cbb21ac7fb	pos=1.1.1.1.1.1.0.0.0.1.1;by=4	4
6	BackendRefinement	452e1c742dde	1926468ef46c	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle3-full-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-union-indep	-
7	Positional	f7cbb21ac7fb	015ae44dd5dc	pos=1.1.1.1.1.1.0.0.1.1;by=6	6
8	BackendRefinement	a1d963ade607	0526eb27bbd2	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle3-full-graph-agnostic.smt2;obligation=join: algebraic-identities + iter-comp-right-hoist	-
9	Positional	015ae44dd5dc	8b13c5b52229	pos=1.1.1.1.1.1.0.1;by=8	8
10	BackendRefinement	3f985f0ff40a	3f985f0ff40a	backend=laws;boundary=space;artifact=proofs/pipeline/puzzle3-full-graph-agnostic.smt2;obligation=constant-ops	-
11	Positional	8b13c5b52229	8b13c5b52229	pos=1.1.1.1.1.1.1;by=10	10
12	Compose	5362f5f89162	8b13c5b52229	steps=1,3,5,7,9,11	1,3,5,7,9,11
# terms
T	c465aada955e	Union(Iteration(Mention("ar17"),"#p0","#s1",Union(Wrap(Singleton(Deref("#p0")),Constant(["c3"])),Wrap(Singleton(Deref("#p0")),Constant(["c3"])))),Composition(Iteration(Range(Mention("ar17"),-1,0),"#p2","#s3",Singleton(Constant([]))),Union(Union(Literal(["c0._"]),Wrap(Singleton(Deref("av14")),Constant(["c1"]))),Wrap(Singleton(Deref("av16")),Constant(["c2"])))))
T	7bc251207dae	Iteration(Mention("ar17"),"#p0","#s1",Union(Union(Union(Literal(["c0._"]),Wrap(Singleton(Deref("av14")),Constant(["c1"]))),Wrap(Singleton(Deref("av16")),Constant(["c2"]))),Wrap(Singleton(Deref("#p0")),Constant(["c3"]))))
T	5362f5f89162	Fixpoint(Literal(["c0.1.2.3"]),"#s0",Union(Mention("#s0"),Iteration(Mention("#s0"),"#p1","#s2",Iteration(Mention("#s2"),"#p3","#s4",Iteration(Mention("#s4"),"#p5","#s6",Iteration(Mention("#s6"),"#p7","#s8",Iteration(Iteration(Union(Union(Union(Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c0"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p9","#s10",Iteration(Mention("#s10"),"#p11","#s12",Union(Iteration(Mention("#s12"),"#p13","#s14",Union(Wrap(Singleton(Deref("#p13")),Constant(["c3"])),Wrap(Singleton(Deref("#p13")),Constant(["c3"])))),Composition(Iteration(Range(Mention("#s12"),-1,0),"#p15","#s16",Singleton(Constant([]))),Union(Union(Literal(["c0._"]),Wrap(Singleton(Deref("#p9")),Constant(["c1"]))),Wrap(Singleton(Deref("#p11")),Constant(["c2"])))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c1"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p17","#s18",Iteration(Mention("#s18"),"#p19","#s20",Union(Iteration(Mention("#s20"),"#p21","#s22",Union(Wrap(Singleton(Deref("#p21")),Constant(["c3"])),Wrap(Singleton(Deref("#p21")),Constant(["c3"])))),Composition(Iteration(Range(Mention("#s20"),-1,0),"#p23","#s24",Singleton(Constant([]))),Union(Union(Literal(["c1._"]),Wrap(Singleton(Deref("#p17")),Constant(["c0"]))),Wrap(Singleton(Deref("#p19")),Constant(["c2"]))))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c2"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p25","#s26",Iteration(Mention("#s26"),"#p27","#s28",Union(Iteration(Mention("#s28"),"#p29","#s30",Union(Wrap(Singleton(Deref("#p29")),Constant(["c3"])),Wrap(Singleton(Deref("#p29")),Constant(["c3"])))),Composition(Iteration(Range(Mention("#s28"),-1,0),"#p31","#s32",Singleton(Constant([]))),Union(Union(Literal(["c2._"]),Wrap(Singleton(Deref("#p25")),Constant(["c0"]))),Wrap(Singleton(Deref("#p27")),Constant(["c1"]))))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c3"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p33","#s34",Iteration(Mention("#s34"),"#p35","#s36",Union(Iteration(Mention("#s36"),"#p37","#s38",Union(Wrap(Singleton(Deref("#p37")),Constant(["c2"])),Wrap(Singleton(Deref("#p37")),Constant(["c2"])))),Composition(Iteration(Range(Mention("#s36"),-1,0),"#p39","#s40",Singleton(Constant([]))),Union(Union(Literal(["c3._"]),Wrap(Singleton(Deref("#p33")),Constant(["c0"]))),Wrap(Singleton(Deref("#p35")),Constant(["c1"]))))))))),"#p41","#s42",Composition(Iteration(Unwrap(Literal(["c0.c1.c0.c1","c0.c1.c1.c0","c0.c1.c2.c2","c0.c1.c3.c3","c0.c2.c0.c2","c0.c2.c1.c1","c0.c2.c2.c0","c0.c2.c3.c3","c1.c0.c0.c1","c1.c0.c1.c0","c1.c0.c2.c2","c1.c0.c3.c3","c1.c3.c0.c0","c1.c3.c1.c3","c1.c3.c2.c2","c1.c3.c3.c1","c2.c0.c0.c2","c2.c0.c1.c1","c2.c0.c2.c0","c2.c0.c3.c3","c2.c3.c0.c0","c2.c3.c1.c1","c2.c3.c2.c3","c2.c3.c3.c2","c3.c1.c0.c0","c3.c1.c1.c3","c3.c1.c2.c2","c3.c1.c3.c1","c3.c2.c0.c0","c3.c2.c1.c1","c3.c2.c2.c3","c3.c2.c3.c2"]),Deref("#p1")),"#p43","#s44",Union(Wrap(Unwrap(Mention("#s44"),Deref("#p41")),Deref("#p43")),Wrap(Unwrap(Mention("#s44"),Deref("#p41")),Deref("#p43")))),Mention("#s42"))),"#p45","#s46",Iteration(Unwrap(Literal(["c0.c1.c0.c1","c0.c1.c1.c0","c0.c1.c2.c2","c0.c1.c3.c3","c0.c2.c0.c2","c0.c2.c1.c1","c0.c2.c2.c0","c0.c2.c3.c3","c1.c0.c0.c1","c1.c0.c1.c0","c1.c0.c2.c2","c1.c0.c3.c3","c1.c3.c0.c0","c1.c3.c1.c3","c1.c3.c2.c2","c1.c3.c3.c1","c2.c0.c0.c2","c2.c0.c1.c1","c2.c0.c2.c0","c2.c0.c3.c3","c2.c3.c0.c0","c2.c3.c1.c1","c2.c3.c2.c3","c2.c3.c3.c2","c3.c1.c0.c0","c3.c1.c1.c3","c3.c1.c2.c2","c3.c1.c3.c1","c3.c2.c0.c0","c3.c2.c1.c1","c3.c2.c2.c3","c3.c2.c3.c2"]),Concat(Concat(Deref("#p1"),Deref("#p45")),Deref("#p1"))),"#p47","#s48",Union(Union(Union(Composition(Intersection(Singleton(Deref("#p47")),Literal(["c0"])),Composition(Composition(Unwrap(Mention("#s46"),Constant(["c1"])),Unwrap(Mention("#s46"),Constant(["c2"]))),Unwrap(Mention("#s46"),Constant(["c3"])))),Composition(Intersection(Singleton(Deref("#p47")),Literal(["c1"])),Composition(Composition(Unwrap(Mention("#s46"),Constant(["c0"])),Unwrap(Mention("#s46"),Constant(["c2"]))),Unwrap(Mention("#s46"),Constant(["c3"]))))),Composition(Intersection(Singleton(Deref("#p47")),Literal(["c2"])),Composition(Composition(Unwrap(Mention("#s46"),Constant(["c0"])),Unwrap(Mention("#s46"),Constant(["c1"]))),Unwrap(Mention("#s46"),Constant(["c3"]))))),Composition(Intersection(Singleton(Deref("#p47")),Literal(["c3"])),Composition(Composition(Unwrap(Mention("#s46"),Constant(["c0"])),Unwrap(Mention("#s46"),Constant(["c1"]))),Unwrap(Mention("#s46"),Constant(["c2"])))))))))))))
T	98947778dd00	Fixpoint(Literal(["c0.1.2.3"]),"#s0",Union(Mention("#s0"),Iteration(Mention("#s0"),"#p1","#s2",Iteration(Mention("#s2"),"#p3","#s4",Iteration(Mention("#s4"),"#p5","#s6",Iteration(Mention("#s6"),"#p7","#s8",Iteration(Iteration(Union(Union(Union(Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c0"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p9","#s10",Iteration(Mention("#s10"),"#p11","#s12",Iteration(Mention("#s12"),"#p13","#s14",Union(Union(Union(Literal(["c0._"]),Wrap(Singleton(Deref("#p9")),Constant(["c1"]))),Wrap(Singleton(Deref("#p11")),Constant(["c2"]))),Wrap(Singleton(Deref("#p13")),Constant(["c3"]))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c1"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p15","#s16",Iteration(Mention("#s16"),"#p17","#s18",Union(Iteration(Mention("#s18"),"#p19","#s20",Union(Wrap(Singleton(Deref("#p19")),Constant(["c3"])),Wrap(Singleton(Deref("#p19")),Constant(["c3"])))),Composition(Iteration(Range(Mention("#s18"),-1,0),"#p21","#s22",Singleton(Constant([]))),Union(Union(Literal(["c1._"]),Wrap(Singleton(Deref("#p15")),Constant(["c0"]))),Wrap(Singleton(Deref("#p17")),Constant(["c2"]))))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c2"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p23","#s24",Iteration(Mention("#s24"),"#p25","#s26",Union(Iteration(Mention("#s26"),"#p27","#s28",Union(Wrap(Singleton(Deref("#p27")),Constant(["c3"])),Wrap(Singleton(Deref("#p27")),Constant(["c3"])))),Composition(Iteration(Range(Mention("#s26"),-1,0),"#p29","#s30",Singleton(Constant([]))),Union(Union(Literal(["c2._"]),Wrap(Singleton(Deref("#p23")),Constant(["c0"]))),Wrap(Singleton(Deref("#p25")),Constant(["c1"]))))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c3"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p31","#s32",Iteration(Mention("#s32"),"#p33","#s34",Union(Iteration(Mention("#s34"),"#p35","#s36",Union(Wrap(Singleton(Deref("#p35")),Constant(["c2"])),Wrap(Singleton(Deref("#p35")),Constant(["c2"])))),Composition(Iteration(Range(Mention("#s34"),-1,0),"#p37","#s38",Singleton(Constant([]))),Union(Union(Literal(["c3._"]),Wrap(Singleton(Deref("#p31")),Constant(["c0"]))),Wrap(Singleton(Deref("#p33")),Constant(["c1"]))))))))),"#p39","#s40",Composition(Iteration(Unwrap(Literal(["c0.c1.c0.c1","c0.c1.c1.c0","c0.c1.c2.c2","c0.c1.c3.c3","c0.c2.c0.c2","c0.c2.c1.c1","c0.c2.c2.c0","c0.c2.c3.c3","c1.c0.c0.c1","c1.c0.c1.c0","c1.c0.c2.c2","c1.c0.c3.c3","c1.c3.c0.c0","c1.c3.c1.c3","c1.c3.c2.c2","c1.c3.c3.c1","c2.c0.c0.c2","c2.c0.c1.c1","c2.c0.c2.c0","c2.c0.c3.c3","c2.c3.c0.c0","c2.c3.c1.c1","c2.c3.c2.c3","c2.c3.c3.c2","c3.c1.c0.c0","c3.c1.c1.c3","c3.c1.c2.c2","c3.c1.c3.c1","c3.c2.c0.c0","c3.c2.c1.c1","c3.c2.c2.c3","c3.c2.c3.c2"]),Deref("#p1")),"#p41","#s42",Union(Wrap(Unwrap(Mention("#s42"),Deref("#p39")),Deref("#p41")),Wrap(Unwrap(Mention("#s42"),Deref("#p39")),Deref("#p41")))),Mention("#s40"))),"#p43","#s44",Iteration(Unwrap(Literal(["c0.c1.c0.c1","c0.c1.c1.c0","c0.c1.c2.c2","c0.c1.c3.c3","c0.c2.c0.c2","c0.c2.c1.c1","c0.c2.c2.c0","c0.c2.c3.c3","c1.c0.c0.c1","c1.c0.c1.c0","c1.c0.c2.c2","c1.c0.c3.c3","c1.c3.c0.c0","c1.c3.c1.c3","c1.c3.c2.c2","c1.c3.c3.c1","c2.c0.c0.c2","c2.c0.c1.c1","c2.c0.c2.c0","c2.c0.c3.c3","c2.c3.c0.c0","c2.c3.c1.c1","c2.c3.c2.c3","c2.c3.c3.c2","c3.c1.c0.c0","c3.c1.c1.c3","c3.c1.c2.c2","c3.c1.c3.c1","c3.c2.c0.c0","c3.c2.c1.c1","c3.c2.c2.c3","c3.c2.c3.c2"]),Concat(Concat(Deref("#p1"),Deref("#p43")),Deref("#p1"))),"#p45","#s46",Union(Union(Union(Composition(Intersection(Singleton(Deref("#p45")),Literal(["c0"])),Composition(Composition(Unwrap(Mention("#s44"),Constant(["c1"])),Unwrap(Mention("#s44"),Constant(["c2"]))),Unwrap(Mention("#s44"),Constant(["c3"])))),Composition(Intersection(Singleton(Deref("#p45")),Literal(["c1"])),Composition(Composition(Unwrap(Mention("#s44"),Constant(["c0"])),Unwrap(Mention("#s44"),Constant(["c2"]))),Unwrap(Mention("#s44"),Constant(["c3"]))))),Composition(Intersection(Singleton(Deref("#p45")),Literal(["c2"])),Composition(Composition(Unwrap(Mention("#s44"),Constant(["c0"])),Unwrap(Mention("#s44"),Constant(["c1"]))),Unwrap(Mention("#s44"),Constant(["c3"]))))),Composition(Intersection(Singleton(Deref("#p45")),Literal(["c3"])),Composition(Composition(Unwrap(Mention("#s44"),Constant(["c0"])),Unwrap(Mention("#s44"),Constant(["c1"]))),Unwrap(Mention("#s44"),Constant(["c2"])))))))))))))
T	d925b30a8f73	Iteration(Singleton(Concat(Concat(Deref("av4"),Deref("av6")),Deref("av8"))),"#p0","#s1",Iteration(Mention("#s1"),"#p2","#s3",Union(Iteration(Mention("#s3"),"#p4","#s5",Union(Wrap(Singleton(Deref("#p4")),Constant(["c3"])),Wrap(Singleton(Deref("#p4")),Constant(["c3"])))),Composition(Iteration(Range(Mention("#s3"),-1,0),"#p6","#s7",Singleton(Constant([]))),Union(Union(Literal(["c1._"]),Wrap(Singleton(Deref("#p0")),Constant(["c0"]))),Wrap(Singleton(Deref("#p2")),Constant(["c2"])))))))
T	b5a455f76e6c	Iteration(Singleton(Concat(Concat(Deref("av4"),Deref("av6")),Deref("av8"))),"#p0","#s1",Iteration(Mention("#s1"),"#p2","#s3",Iteration(Mention("#s3"),"#p4","#s5",Union(Union(Union(Literal(["c1._"]),Wrap(Singleton(Deref("#p0")),Constant(["c0"]))),Wrap(Singleton(Deref("#p2")),Constant(["c2"]))),Wrap(Singleton(Deref("#p4")),Constant(["c3"]))))))
T	bb353a44bff6	Fixpoint(Literal(["c0.1.2.3"]),"#s0",Union(Mention("#s0"),Iteration(Mention("#s0"),"#p1","#s2",Iteration(Mention("#s2"),"#p3","#s4",Iteration(Mention("#s4"),"#p5","#s6",Iteration(Mention("#s6"),"#p7","#s8",Iteration(Iteration(Union(Union(Union(Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c0"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p9","#s10",Iteration(Mention("#s10"),"#p11","#s12",Iteration(Mention("#s12"),"#p13","#s14",Union(Union(Union(Literal(["c0._"]),Wrap(Singleton(Deref("#p9")),Constant(["c1"]))),Wrap(Singleton(Deref("#p11")),Constant(["c2"]))),Wrap(Singleton(Deref("#p13")),Constant(["c3"]))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c1"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p15","#s16",Iteration(Mention("#s16"),"#p17","#s18",Iteration(Mention("#s18"),"#p19","#s20",Union(Union(Union(Literal(["c1._"]),Wrap(Singleton(Deref("#p15")),Constant(["c0"]))),Wrap(Singleton(Deref("#p17")),Constant(["c2"]))),Wrap(Singleton(Deref("#p19")),Constant(["c3"])))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c2"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p21","#s22",Iteration(Mention("#s22"),"#p23","#s24",Union(Iteration(Mention("#s24"),"#p25","#s26",Union(Wrap(Singleton(Deref("#p25")),Constant(["c3"])),Wrap(Singleton(Deref("#p25")),Constant(["c3"])))),Composition(Iteration(Range(Mention("#s24"),-1,0),"#p27","#s28",Singleton(Constant([]))),Union(Union(Literal(["c2._"]),Wrap(Singleton(Deref("#p21")),Constant(["c0"]))),Wrap(Singleton(Deref("#p23")),Constant(["c1"]))))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c3"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p29","#s30",Iteration(Mention("#s30"),"#p31","#s32",Union(Iteration(Mention("#s32"),"#p33","#s34",Union(Wrap(Singleton(Deref("#p33")),Constant(["c2"])),Wrap(Singleton(Deref("#p33")),Constant(["c2"])))),Composition(Iteration(Range(Mention("#s32"),-1,0),"#p35","#s36",Singleton(Constant([]))),Union(Union(Literal(["c3._"]),Wrap(Singleton(Deref("#p29")),Constant(["c0"]))),Wrap(Singleton(Deref("#p31")),Constant(["c1"]))))))))),"#p37","#s38",Composition(Iteration(Unwrap(Literal(["c0.c1.c0.c1","c0.c1.c1.c0","c0.c1.c2.c2","c0.c1.c3.c3","c0.c2.c0.c2","c0.c2.c1.c1","c0.c2.c2.c0","c0.c2.c3.c3","c1.c0.c0.c1","c1.c0.c1.c0","c1.c0.c2.c2","c1.c0.c3.c3","c1.c3.c0.c0","c1.c3.c1.c3","c1.c3.c2.c2","c1.c3.c3.c1","c2.c0.c0.c2","c2.c0.c1.c1","c2.c0.c2.c0","c2.c0.c3.c3","c2.c3.c0.c0","c2.c3.c1.c1","c2.c3.c2.c3","c2.c3.c3.c2","c3.c1.c0.c0","c3.c1.c1.c3","c3.c1.c2.c2","c3.c1.c3.c1","c3.c2.c0.c0","c3.c2.c1.c1","c3.c2.c2.c3","c3.c2.c3.c2"]),Deref("#p1")),"#p39","#s40",Union(Wrap(Unwrap(Mention("#s40"),Deref("#p37")),Deref("#p39")),Wrap(Unwrap(Mention("#s40"),Deref("#p37")),Deref("#p39")))),Mention("#s38"))),"#p41","#s42",Iteration(Unwrap(Literal(["c0.c1.c0.c1","c0.c1.c1.c0","c0.c1.c2.c2","c0.c1.c3.c3","c0.c2.c0.c2","c0.c2.c1.c1","c0.c2.c2.c0","c0.c2.c3.c3","c1.c0.c0.c1","c1.c0.c1.c0","c1.c0.c2.c2","c1.c0.c3.c3","c1.c3.c0.c0","c1.c3.c1.c3","c1.c3.c2.c2","c1.c3.c3.c1","c2.c0.c0.c2","c2.c0.c1.c1","c2.c0.c2.c0","c2.c0.c3.c3","c2.c3.c0.c0","c2.c3.c1.c1","c2.c3.c2.c3","c2.c3.c3.c2","c3.c1.c0.c0","c3.c1.c1.c3","c3.c1.c2.c2","c3.c1.c3.c1","c3.c2.c0.c0","c3.c2.c1.c1","c3.c2.c2.c3","c3.c2.c3.c2"]),Concat(Concat(Deref("#p1"),Deref("#p41")),Deref("#p1"))),"#p43","#s44",Union(Union(Union(Composition(Intersection(Singleton(Deref("#p43")),Literal(["c0"])),Composition(Composition(Unwrap(Mention("#s42"),Constant(["c1"])),Unwrap(Mention("#s42"),Constant(["c2"]))),Unwrap(Mention("#s42"),Constant(["c3"])))),Composition(Intersection(Singleton(Deref("#p43")),Literal(["c1"])),Composition(Composition(Unwrap(Mention("#s42"),Constant(["c0"])),Unwrap(Mention("#s42"),Constant(["c2"]))),Unwrap(Mention("#s42"),Constant(["c3"]))))),Composition(Intersection(Singleton(Deref("#p43")),Literal(["c2"])),Composition(Composition(Unwrap(Mention("#s42"),Constant(["c0"])),Unwrap(Mention("#s42"),Constant(["c1"]))),Unwrap(Mention("#s42"),Constant(["c3"]))))),Composition(Intersection(Singleton(Deref("#p43")),Literal(["c3"])),Composition(Composition(Unwrap(Mention("#s42"),Constant(["c0"])),Unwrap(Mention("#s42"),Constant(["c1"]))),Unwrap(Mention("#s42"),Constant(["c2"])))))))))))))
T	952933645837	Iteration(Singleton(Concat(Concat(Deref("av4"),Deref("av6")),Deref("av8"))),"#p0","#s1",Iteration(Mention("#s1"),"#p2","#s3",Union(Iteration(Mention("#s3"),"#p4","#s5",Union(Wrap(Singleton(Deref("#p4")),Constant(["c3"])),Wrap(Singleton(Deref("#p4")),Constant(["c3"])))),Composition(Iteration(Range(Mention("#s3"),-1,0),"#p6","#s7",Singleton(Constant([]))),Union(Union(Literal(["c2._"]),Wrap(Singleton(Deref("#p0")),Constant(["c0"]))),Wrap(Singleton(Deref("#p2")),Constant(["c1"])))))))
T	3af4379f59fd	Iteration(Singleton(Concat(Concat(Deref("av4"),Deref("av6")),Deref("av8"))),"#p0","#s1",Iteration(Mention("#s1"),"#p2","#s3",Iteration(Mention("#s3"),"#p4","#s5",Union(Union(Union(Literal(["c2._"]),Wrap(Singleton(Deref("#p0")),Constant(["c0"]))),Wrap(Singleton(Deref("#p2")),Constant(["c1"]))),Wrap(Singleton(Deref("#p4")),Constant(["c3"]))))))
T	f7cbb21ac7fb	Fixpoint(Literal(["c0.1.2.3"]),"#s0",Union(Mention("#s0"),Iteration(Mention("#s0"),"#p1","#s2",Iteration(Mention("#s2"),"#p3","#s4",Iteration(Mention("#s4"),"#p5","#s6",Iteration(Mention("#s6"),"#p7","#s8",Iteration(Iteration(Union(Union(Union(Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c0"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p9","#s10",Iteration(Mention("#s10"),"#p11","#s12",Iteration(Mention("#s12"),"#p13","#s14",Union(Union(Union(Literal(["c0._"]),Wrap(Singleton(Deref("#p9")),Constant(["c1"]))),Wrap(Singleton(Deref("#p11")),Constant(["c2"]))),Wrap(Singleton(Deref("#p13")),Constant(["c3"]))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c1"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p15","#s16",Iteration(Mention("#s16"),"#p17","#s18",Iteration(Mention("#s18"),"#p19","#s20",Union(Union(Union(Literal(["c1._"]),Wrap(Singleton(Deref("#p15")),Constant(["c0"]))),Wrap(Singleton(Deref("#p17")),Constant(["c2"]))),Wrap(Singleton(Deref("#p19")),Constant(["c3"])))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c2"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p21","#s22",Iteration(Mention("#s22"),"#p23","#s24",Iteration(Mention("#s24"),"#p25","#s26",Union(Union(Union(Literal(["c2._"]),Wrap(Singleton(Deref("#p21")),Constant(["c0"]))),Wrap(Singleton(Deref("#p23")),Constant(["c1"]))),Wrap(Singleton(Deref("#p25")),Constant(["c3"])))))))),Composition(TailsUnion(Intersection(Singleton(Deref("#p1")),Literal(["c3"]))),Iteration(Singleton(Concat(Concat(Deref("#p3"),Deref("#p5")),Deref("#p7"))),"#p27","#s28",Iteration(Mention("#s28"),"#p29","#s30",Union(Iteration(Mention("#s30"),"#p31","#s32",Union(Wrap(Singleton(Deref("#p31")),Constant(["c2"])),Wrap(Singleton(Deref("#p31")),Constant(["c2"])))),Composition(Iteration(Range(Mention("#s30"),-1,0),"#p33","#s34",Singleton(Constant([]))),Union(Union(Literal(["c3._"]),Wrap(Singleton(Deref("#p27")),Constant(["c0"]))),Wrap(Singleton(Deref("#p29")),Constant(["c1"]))))))))),"#p35","#s36",Composition(Iteration(Unwrap(Literal(["c0.c1.c0.c1","c0.c1.c1.c0","c0.c1.c2.c2","c0.c1.c3.c3","c0.c2.c0.c2","c0.c2.c1.c1","c0.c2.c2.c0","c0.c2.c3.c3","c1.c0.c0.c1","c1.c0.c1.c0","c1.c0.c2.c2","c1.c0.c3.c3","c1.c3.c0.c0","c1.c3.c1.c3","c1.c3.c2.c2","c1.c3.c3.c1","c2.c0.c0.c2","c2.c0.c1.c1","c2.c0.c2.c0","c2.c0.c3.c3","c2.c3.c0.c0","c2.c3.c1.c1","c2.c3.c2.c3","c2.c3.c3.c2","c3.c1.c0.c0","c3.c1.c1.c3","c3.c1.c2.c2","c3.c1.c3.c1","c3.c2.c0.c0","c3.c2.c1.c1","c3.c2.c2.c3","c3.c2.c3.c2"]),Deref("#p1")),"#p37","#s38",Union(Wrap(Unwrap(Mention("#s38"),Deref("#p35")),Deref("#p37")),Wrap(Unwrap(Mention("#s38"),Deref("#p35")),Deref("#p37")))),Mention("#s36"))),"#p39","#s40",Iteration(Unwrap(Literal(["c0.c1.c0.c1","c0.c1.c1.c0","c0.c1.c2.c2","c0.c1.c3.c3","c0.c2.c0.c2","c0.c2.c1.c1","c0.c2.c2.c0","c0.c2.c3.c3","c1.c0.c0.c1","c1.c0.c1.c0","c1.c0.c2.c2","c1.c0.c3.c3","c1.c3.c0.c0","c1.c3.c1.c3","c1.c3.c2.c2","c1.c3.c3.c1","c2.c0.c0.c2","c2.c0.c1.c1","c2.c0.c2.c0","c2.c0.c3.c3","c2.c3.c0.c0","c2.c3.c1.c1","c2.c3.c2.c3","c2.c3.c3.c2","c3.c1.c0.c0","c3.c1.c1.c3","c3.c1.c2.c2","c3.c1.c3.c1","c3.c2.c0.c0","c3.c2.c1.c1","c3.c2.c2.c3","c3.c2.c3.c2"]),Concat(Concat(Deref("#p1"),Deref("#p39")),Deref("#p1"))),"#p41","#s42",Union(Union(Union(Composition(Intersection(Singleton(Deref("#p41")),Literal(["c0"])),Composition(Composition(Unwrap(Mention("#s40"),Constant(["c1"])),Unwrap(Mention("#s40"),Constant(["c2"]))),Unwrap(Mention("#s40"),Constant(["c3"])))),Composition(Intersection(Singleton(Deref("#p41")),Literal(["c1"])),Composition(Composition(Unwrap(Mention("#s40"),Constant(["c0"])),Unwrap(Mention("#s40"),Constant(["c2"]))),Unwrap(Mention("#s40"),Constant(["c3"]))))),Composition(Intersection(Singleton(Deref("#p41")),Literal(["c2"])),Composition(Composition(Unwrap(Mention("#s40"),Constant(["c0"])),Unwrap(Mention("#s40"),Constant(["c1"]))),Unwrap(Mention("#s40"),Constant(["c3"]))))),Composition(Intersection(Singleton(Deref("#p41")),Literal(["c3"])),Composition(Composition(Unwrap(Mention("#s40"),Constant(["c0"])),Unwrap(Mention("#s40"),Constant(["c1"]))),Unwrap(Mention("#s40"),Constant(["c2"])))))))))))))
