# acceptance data — generated by scripts/gen_acceptance.py; evidence sha256:4e1c5dd24e20869b469b
# item	state	why	gates	closure	evidence
A1	GREEN		S:morkl.SpatialSemanticsCheck=PASS;S:morkl.SpatialEventsCheck=PASS	-	-
A2	GREEN		S:morkl.DeltaIRCheck=PASS;S:mechanized theorems build=PASS	-	-
A3	GREEN		S:morkl.SpatialDomainCheck=PASS	-	-
A4	GREEN		S:morkl.SpatialCostCheck=PASS;S:morkl.SpatialEventsCheck=PASS;S:morkl.SpatialScaleCheck=PASS;S:morkl.SpatialPipelineCheck=PASS	-	-
A5	GREEN		S:morkl.CrossFunctionCostCheck=PASS	-	-
A6	CONDITIONAL	modulo spatial rule A6-BACKENDS: PROVED-MODULO T9; spatial rule A6-EVENTS: PROVED-MODULO T9; spatial rule A6-SUMM: PROVED-MODULO T9	S:proof status vs the trusted base, one dependency graph over the traces=PASS;S:mechanized theorems build=PASS	spatial	proofs/spatial/STATUS.tsv
B1	GREEN		S:morkl.AlternativesCheck=PASS	-	-
B2	CONDITIONAL	dependency not accepted: A6=CONDITIONAL	S:morkl.ParetoCheck=PASS;S:selection certificates replay independently=PASS	-	proofs/decisions
B3	CONDITIONAL	dependency not accepted: B2=CONDITIONAL	U:morkl.DecisionsCheck=PASS;S:selection certificates replay independently=PASS	-	proofs/decisions;docs/DECISIONS.md
C1	GREEN		S:mechanized theorems build=PASS	O6a	-
C2	GREEN		S:mechanized theorems build=PASS	O12a;O12b	-
C3	GREEN		S:morkl.ProofTraceCheck=PASS;S:typed proof traces: every declared cell resolves to a checked DAG=PASS	-	proofs/pipeline/traces
C4	CONDITIONAL	modulo aunt-graph-agnostic: T4: trusted base entry; aunt-graph: T4: trusted base entry; datalog-sn-graph-agnostic: T4: trusted base entry	S:proof status vs the trusted base, one dependency graph over the traces=PASS;S:trust closure mutation: an injected open O6a reaches its consumers=PASS	traces	proofs/pipeline/traces
D1	CONDITIONAL	modulo aunt-graph-agnostic: T4: trusted base entry; aunt-graph: T4: trusted base entry; datalog-sn-graph-agnostic: T4: trusted base entry	S:structural coverage: every feature inside a checked chain, census complete=PASS;S:structural coverage mutations are caught=PASS;S:pipeline marker/declaration audit=PASS	traces	proofs/pipeline/COVERAGE.tsv
D2	CONDITIONAL	modulo aunt-graph-agnostic: T4: trusted base entry; aunt-graph: T4: trusted base entry; datalog-sn-graph-agnostic: T4: trusted base entry	S:morkl.EquivPipelineTest=PASS;S:cornerstone resource certificates contain their counted runs; selections replay=PASS;S:pipeline claims accepted: no SINGLE-SIDE, BUDGET or chained cell=PASS	traces	proofs/pipeline/resources;proofs/pipeline/RESOURCES.tsv;proofs/pipeline/CLAIMS.tsv
D3	SOUND-BUT-NOT-USEFUL	FAILED: morkl.Puzzle15Check	U:morkl.Puzzle15Check=FAIL	-	proofs/puzzle15
E1	CONDITIONAL	dependency not accepted: A6=CONDITIONAL, B3=CONDITIONAL, C4=CONDITIONAL, D2=CONDITIONAL	S:morkl.MutationGates=PASS;S:structural coverage mutations are caught=PASS;S:trust closure mutation: an injected open O6a reaches its consumers=PASS;S:counted columns are run-order independent=PASS;S:reference-checker self-test=PASS	-	-
E2	UNMEASURED	no recorded result for: publication reproduces from the accepted commit	S:benchmark publication checker self-test=PASS;S:publication reproduces from the accepted commit=NOT-RUN	-	-
E3	UNMEASURED	dependency not accepted: E2=UNMEASURED	S:acceptance mutations move their rows=PASS	-	-
