# terminating/REGISTRY.tsv — THE TOTAL MAP of the recursion-lowering surface to its obligations.
#
# Columns:  id  kind  file  code-site  statement
#   kind = FILE       a machine-checked obligation file; terminating/run.sh runs it and
#                     terminating/STATUS.tsv carries its per-prover verdict.
#          SCHEMATIC  a FILE whose theorem is an induction SCHEMA over the Space grammar or over the
#                     component arity: the file pins the base, the step, and the instances the
#                     compiler actually emits, and the general arity/depth follows by that step.
#          PROPERTY   a syntactic or executable property, discharged by a Scala test rather than by
#                     a prover, because an SMT model of it would be a re-implementation.
#          CITED      already discharged by an obligation OUTSIDE terminating/; the row exists so
#                     the code site is not left looking uncovered.
#          NEGATIVE-RESULT  a kept, annotated FAILED attempt.  Not run by run.sh.
#          OPEN       stated here, NOT discharged.  The reason is in the named file's header.
#          MECHANIZED (proofs/lean/…)  discharged by a Lean-checked theorem; the `file` column names the theorem(s)
#                     and `scripts/check_lean.sh` audits their axioms.  Qualified `PARAMETRIC` when a premise is
#                     left explicit (its own row says which), `PER RUN` when an executable invariant must hold
#                     on the run for the theorem to apply (`SCReport.leanCovered`).
#          ADMITTED   an explicit trusted assumption (docs/TRUSTED.md); none remain after 2E.3.
#          OPEN+DIFFERENTIAL / OPEN+NARROWED / REFUTED-CLOSED / CONSTRUCTION+GATE  variants of OPEN and CITED,
#                     each explained in its row.
#
# "TOTAL over the recursion-lowering surface" means: every function that creates, consumes, or
# rewrites a Space.Fixpoint or a recursive Space.Call has at least one row.  The eleven such sites
# are MORKL.scala {1214 asFixpoint, 1235 lowerMutualPassthrough, 1279 asFixpointGeneral,
# 1321 lowerMutualByElimination, 1347 lowerCalls, 333 eval-Fixpoint, 652 exec-Fixpoint,
# 523/728 transpile/untranspile}, EquivPipeline.scala {91 expand-Fixpoint, 410 unrollControl},
# SpatialRecursion.scala {BoundedRecursion}, Zipper.scala {302 fallback}, and
# Supercompiler.scala {309/473/728 fold/msg/drive}.  Line numbers are as of this change set.
#
# A row whose kind is OPEN or PROPERTY is NOT a proved obligation.  Read STATUS.tsv for what a
# prover actually said; read the file header for what was attempted and what compensating coverage
# exists.  Never turn an OPEN row into a FILE row by weakening its statement.
#
id	kind	file	code-site	statement
T1	FILE	terminating/bounded_growth_decrease.{p,smt2}	(shared measure lemma)	subset(R,S) & subset(S,U) & S!=R => card(U\S) < card(U\R): strict growth in a finite universe strictly shrinks the complement.
T2	FILE	terminating/datalog_a_terminates.{p,smt2}	terminating/datalog_a.txt	The inflationary step R |-> R u f(R) is inflationary and, until stationary, strictly shrinks card(top\R), for UNINTERPRETED f.
T3	FILE	terminating/datalog_b_naive_terminates.{p,smt2}	terminating/datalog_b.txt (gtc/gpt/grsg)	Same measure argument, staged over the three concrete naive datalog bodies (15 goals).
T4	FILE	terminating/datalog_b_seminaive_{lemmas,terminates}.{p,smt2}	terminating/datalog_b.txt (pt_sn); EquivPipelineTest.scala:543-551	mu(A,D) = 2*card(top\A) + [D != {}] is >= 0 and strictly decreases on every state-changing semi-naive step, for an UNINTERPRETED delta operator.
T5	FILE	terminating/least_fixpoint_unique.{p,smt2}	(shared lattice lemma)	Two least solutions of X = a u F(X) in a join-semilattice coincide.
T6	FILE	terminating/no_infinite_descent.smt2	(shared well-foundedness)	No total N->N function is everywhere strictly decreasing: the bridge from measure-decrease to termination.
T7	FILE	terminating/reachable_{decrease,value}.{p,smt2}	terminating/total_functions.egg	The masked frontier step stays in the mask, is inflationary on masked arguments, and strictly shrinks card(mask\R); plus the value facts by an explicit nat-induction schema.
T8	FILE	terminating/scc_decrease.{p,smt2}	terminating/total_functions.egg	All three SCC-split branches strictly shrink card(nodes).
T9	FILE	terminating/transitive_equiv.{p,smt2}	terminating/intro.egg	The doubling recursion denotes one-hop transitive closure, for EVERY graph.  The only pre-existing equivalence certificate touching recursion.
T10	NEGATIVE-RESULT	terminating/transitive_chc.smt2	(none)	A failed CHC/Spacer attempt at T9, kept and annotated: Horn-SAT without minimality answers "sat" for a true AND for a deliberately false claim, so the verdict is uninformative.  NOT run by run.sh (its "sat" is by design).
O1	FILE	terminating/fixpoint_is_lfp.smt2	MORKL.scala:333 (eval), :652 (exec/execT), EquivPipeline.scala:91 (expand)	Under monotone F and I subset= F(I): the Kleene chain ascends, the accumulator A_k equals C_k, a stationary A_n is lfp_{>=I} F, and every non-stationary step strictly shrinks card(top\C_k).
