# proofs/unbounded/REGISTRY.tsv — TIER 3, THE UNBOUNDED TIER.
#
# One row per obligation.  `generalises` names the TIER-1 (Lower.sizeBounds / Lower.lenBounds,
# a syntactic interval per AST node) or TIER-2 (SizeZ3 / LenZ3, one ground `(declare-const n<i>
# Int)` per AST node) claim, or the instance-tier .smt2 obligation, that the row's schematic
# statement subsumes.  Neither of those tiers can quantify over inputs at all — that is the whole
# point of this directory; see _signature.p's header.
#
# Verdicts live in STATUS.tsv, written by run.sh.  Rows whose id starts with N are NEGATIVE
# CONTROLS: they are FALSE and must NOT be provable, and run.sh fails the run if one is proved.
#
# ONE PROVER.  There is no z3 column anywhere in this tier: the statements are quantified
# first-order sentences over uninterpreted sorts, and an SMT-LIB rendering would need
# `declare-datatypes` for `path`, which docs/traps.md 3 records vampire cannot consume — so the
# twin could not be cross-checked by the prover that actually discharges this tier.  The negative
# controls and run.sh's vacuity probe are the compensating checks.
#
# THE TRUSTED BASE OF THIS TIER IS ONE FILE: `_path_induction.p`.
# It is the STRUCTURAL INDUCTION SCHEMA for the free term algebra `path`, instantiated at one
# predicate.  A schema quantifies over formulas, so first-order logic cannot state it and a
# saturation prover has no rule for it; the instance is therefore asserted.  It says NOTHING about
# what `app` computes — the same instance is valid for any property of paths — and BOTH of its
# premises remain obligations, discharged as `mon_cancel_base` and `mon_cancel_step`.  It has no
# registry row because rows name CONJECTURE files and this is an axiom module; it is named here, in
# `run.sh`'s EXPECTED_OPEN comment, and in docs/atlas.md's acceptance contract.
#
# WHAT IT REPLACED.  `_cancel.p` used to ADMIT left cancellation of append itself — a domain fact
# about `app` — and `wrap_roundtrip` and `card_wrap` were reported PROVED while resting on it, with
# `mon_cancel` OPEN in EXPECTED_OPEN.  `mon_cancel` is now PROVED and `_cancel.p` is a re-asserted
# PROVED LEMMA (that file's header carries the measurement for why it is still re-asserted).
#
# id	file	operator	statement	generalises
U01	lattice_union.p	union	u is idempotent/commutative/associative with unit {} and is the JOIN of the inclusion order	tier-1 Lower.sizeBounds Union arm; SC.reduce union normalisation; formal.egg union laws
U02	lattice_inter.p	intersection	n is idempotent/commutative/associative, annihilated by {}, and is the MEET of the inclusion order	tier-1 Lower.sizeBounds Intersection arm; the trie meet fast paths in AlgebraicResult
U03	lattice_distrib.p	union / intersection	absorption both ways and distributivity both ways: the inclusion lattice is DISTRIBUTIVE	the push-intersection-through-union rewrite in the trie backends
U04	lattice_order.p	inclusion	sub is a partial order with bottom {}, and agrees with both algebraic characterisations	the saturated subset relation SizeConstraints.encode builds over one term's nodes
U05	subtraction.p	subtraction	A\B is inside A, disjoint from B, splits A with AnB, and equals A\(AnB)	tier-1 Lower.sizeBounds Subtraction arm (lo = max(0, lo_a - hi_b), hi = hi_a)
U06	set_partitions.p	union / intersection / subtraction	the two disjoint decompositions: AuB = A + (B\A) and B = (AnB) + (B\A)	the subset edges SizeConstraints.encode saturates per node
U07	mono_setops.p	union / intersection / subtraction	u and n monotone in both arguments; \ monotone in the minuend, ANTITONE in the subtrahend	every SC.reduce rewrite that replaces a subterm by a smaller/larger one
U08	restriction.p	restriction	restr is a filter: inside its source, idempotent, {}-annihilated, identity at {eps}, union-distributive in both arguments	tier-1 Lower.sizeBounds Restriction arm (lo = 0, hi = hi_x); proofs/keys_restriction.smt2
U09	raffination.p	raffination	THE PARTITION: restr(X,Y) u raff(X,Y) = X and the two are disjoint; the {eps} / {} corners	the Raffination arm of eval and of tier-1 Lower.sizeBounds; proofs/restriction.smt2
U10	prefix_disjoint.p	restriction / raffination	no path of Y a prefix of any path of X  =>  restr = {}, raff = X, and X,Y disjoint	the disjoint-prefix subtrie shortcut (docs/guide.md)
U11	mono_prefix.p	restriction / raffination	restr monotone in both arguments; raff monotone in the source and ANTITONE in the prefix set	the Restriction/Raffination arms of SpatialTypes.infer, which widen instead of reasoning about variance
U12	composition_assoc.p	composition	composition is associative	proofs/composition.smt2 (instance tier); tier-1's Composition size arm n_a * n_b
U13	composition_unit.p	composition	{eps} is a two-sided unit and {} a two-sided annihilator for composition	proofs/lemma_append_nil.smt2 (append-nil, PROVED) lifted to spaces
U14	composition_distrib.p	composition	composition distributes over union in both arguments	the union-hoisting rewrites in SC.reduce / formal.egg
U15	mono_compose.p	composition	composition is monotone in both arguments	tier-1's Composition size arm; the Composition arm of SpatialTypes.infer
U16	wrap_roundtrip.p	wrap / unwrap	unwrap(wrap(A,W),W) = A for every A and W; wrap(A,eps) = A; unwrap(A,eps) = A	proofs/impl_wrap.smt2 + proofs/impl_unwrap.smt2 (one wrap of one literal)
